CL019	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nitrosococcales	f__Methylophagaceae	g__Methylophaga	s__Methylophaga sp002354555
CL018_sub	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Xanthomarina	s__Xanthomarina gelatinilytica
algae.031_sub	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Winogradskyella	s__Winogradskyella pacifica
CL008	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cyclobacteriaceae	g__Roseivirga	s__Roseivirga seohaensis
algae.50	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__Rhodopirellula	s__Rhodopirellula baltica
algae.072_sub	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__HTCC2089	g__	s__
CL048	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Alcanivoracaceae	g__PGZG01	s__
algae.048_sub	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Alcanivoracaceae	g__PGZG01	s__
29_sub	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudoalteromonas	s__
CL011_sub	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Rheinheimera	s__
algae.021_sub	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Rheinheimera	s__
77_sub	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Hoeflea	s__
algae.24_sub	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Stappiaceae	g__Stappia	s__
algae.23_sub	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Sulfitobacter	s__
algae.35	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Monaibacterium	s__
CL015_sub	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Hyphomonadaceae	g__Hyphomonas	s__
algae.17	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Maricaulaceae	g__Hyphobacterium	s__
algae.020	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Erythrobacter	s__
CL013	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Blastomonas	s__
38_sub	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sandarakinorhabdus	s__
15	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Micavibrionales	f__Micavibrionaceae	g__UBA1664	s__
CL017	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Winogradskyella	s__
CL022	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Vicingaceae	g__	s__
86_sub	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__SW-11-45-7	g__	s__
algae.28	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__NS11-12g	f__UBA8524	g__	s__
CL003	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Spirosomaceae	g__Jiulongibacter	s__
algae.20_sub	d__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Kapabacteriales	f__GCA-002839825	g__	s__
algae.19_sub	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__SW10	s__
algae.51	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__UBA1315	s__
algae.3	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__	s__
CL001_sub	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__DEV007	g__Arctic95D-9	s__
44	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__GCA-2715965	g__	s__
algae.6	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__Roseimaritima	s__
